dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,kmedian,0.01,9,288.91967030018054,0.1987527,6,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=6.txt
Synthetic,10,kmedian,0.01,12,290.31922795977255,0.2766120000000001,7,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=7.txt
Synthetic,10,kmedian,0.01,3,295.8886530943578,0.19334050000000147,8,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=8.txt
Synthetic,10,kmedian,0.01,12,289.970173525292,0.2516481000000006,9,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=9.txt
Synthetic,10,kmedian,0.01,13,290.98739971583313,0.24176789999999926,10,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.01__lmb=10__seed=10.txt
Synthetic,10,kmeans,0.01,10,373.4510685729898,0.21257530000000102,1,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=1.txt
Synthetic,10,kmeans,0.01,4,-1.999999999999984e+18,0.267422100000001,2,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=2.txt
Synthetic,10,kmeans,0.01,7,369.9738616852447,0.2171410999999992,3,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=3.txt
Synthetic,10,kmeans,0.01,4,-1.999999999999984e+18,0.20393350000000154,4,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=4.txt
Synthetic,10,kmeans,0.01,14,370.24074982338897,0.27695369999999997,5,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=5.txt
Synthetic,10,kmeans,0.01,8,368.9528872431955,0.2132380999999981,6,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=6.txt
Synthetic,10,kmeans,0.01,12,367.6011547948788,0.26046930000000046,7,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=7.txt
Synthetic,10,kmeans,0.01,3,373.2395175576885,0.25777590000000217,8,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.01__lmb=10__seed=8.txt
